id,name,party,state,76,273,271,272,485,486,487,955,1042,1043,1044,1045,1046,1047,1739,1232,1233,1234,440,441,1928,1512,1530,200,238,826,239,240,827,828,829,356,225,226,227,228,229,230,231,232,1483,1484,2401,2402,2403,1835,1389,1390,1391,1392,1393,1394,82,1516,1517,1585,1552,1917,1183,2354,2397,607,39,2143,1466,780,2054,1467,1468,1747,1748,1749,1750,1751,1743,1744,1745,1746,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1507,1285,1286,1287,1288,1086,1887,1888,49,50,51,52,1087,1845,1184,961,2169,447,164,448,449,1766,165,818,819,1435,241,242,983,2378,2298,1529,1173,27,144,1725,1297,1298,1299,1300,605,1726,2350,2018,2019,2020,23,24,25,110,111,112,113,114,115,116,419,245,246,247,1807,1808,1809,342,1850,2351,2203,2204,2205,1190,1851,904,1706,1939,1182,1370,1705,1540,434,1556,1371,1979,924,925,926,927,1143,1922,2160,2161,1041,1976,1699,1700,2341,792,1831,1832,2,518,2240,2427,2428,2429,2430,1319,382,1833,1836,1243,1719,1560,2431,519,2119,2021,2022,991,2023,2024,2025,2026,2027,2028,1580,169,1281,48,2432,2438,2439,2440,2433,2434,2435,2436,2437,2449,2450,2441,2442,2443,2444,2445,2446,2447,2448,2451,2452,2368,30,255,233,1958,55,56,880,1897,881,846,847,848,849,850,851,403,404,405,2303,1892,1203,2295,2296,2297,1957,2220,2221,2222,2282,236,234,1094,859,1793,844,845,1095,1532,2122,1871,1872,1437,1873,2194,1075,1241,435,2226,139,140,141,2123,303,1301,992,1987,1988,368,364,365,366,367,369,370,371,1989,1990,1991,1992,1993,1994,315,316,317,318,319,320,893,625,2124,1096,1097,1722,1506,529,530,452,361,362,363,791,454,453,2346,2347,154,1723,77,78,350,1724,463,204,1317,930,984,985,986,931,773,2162,1379,305,1439,1440,1441,1442,1443,1444,210,211,212,922,923,2111,1918,31,145,146,147,817,878,1736,1701,2163,520,2299,2300,471,1781,1782,1783,1784,2223,1470,1134,1135,1482,484,1930,1785,1786,1787,1788,1789,1790,774,460,461,411,28,587,546,150,547,548,258,1471,1854,1855,476,259,1089,1090,1091,1092,2399,2400,630,964,1093,1694,2265,1071,2266,472,473,270,1856,1386
74275,José Mentor,PT,SP,1,1,0,0,0,,0,,0,,0,1,,,1,0,0,1,,,1,,1,0,,0,1,0,1,0,1,0,0,,1,1,1,1,1,1,,0,,,0,,,0,,,1,,0,0,0,,,,,,1,1,,,,,1,,,1,0,1,1,0,0,0,0,,,,1,,0,0,0,,1,1,1,,1,,0,0,1,1,1,1,1,1,1,0,,0,,,0,0,1,0,,0,,,1,,,1,1,1,0,1,1,0,,1,,1,0,,,1,,,,0,0,,0,,,,0,0,0,,,1,,0,0,0,1,,,,,1,0,,1,,,,,1,0,1,,1,,1,,,,,,,,,,0,0,,1,0,,,,1,0,,1,,0,0,,1,,1,,,,1,1,,1,0,,1,,,,,0,0,1,,1,,,0,0,0,0,,0,0,0,1,1,0,,,,,1,0,1,0,0,1,1,,,1,0,0,0,0,0,1,0,0,0,0,1,0,,0,,,,1,1,1,,1,1,1,,1,0,1,,1,1,,1,,,1,0,0,1,,1,,,,,1,0,,,,,,,0,0,0,,1,,0,0,,0,0,,,1,,1,,0,0,0,,,1,,,,1,0,1,1,,,,,0,1,1,1,,,1,1,,,1,,1,1,1,1,,1,1,1,1,,,,,,,0,,,,,,,1,1,,0,0,1,,1,1,1,0,0,0,1,1,1,,,,,0,1,,1,,,,,,,,,,0,,,,,,,,1,1,,,,1,,0,1,,1,,0,,0,,1,,1,1,1,1,1,
74283,Vicentinho,PT,SP,1,1,0,0,0,0,,0,,,,1,,1,1,0,0,1,,0,,0,1,0,,0,1,0,1,0,1,0,,0,1,,1,1,,1,,0,0,,,,,,1,1,1,1,0,,,,,,,1,1,1,0,,,,1,,,1,,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,1,1,1,0,,1,1,1,1,,1,1,0,0,,1,,0,0,1,,1,0,0,0,1,0,0,,1,1,0,,0,,1,1,,1,0,,,,,1,,0,0,0,0,0,0,,,,,,0,1,,0,,,1,,,1,,1,0,0,,,1,1,0,,0,1,1,1,,1,1,1,1,0,0,0,,,,0,,,,1,,,1,1,0,0,1,0,0,0,1,1,,1,,0,,1,,,1,0,,,,,,,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,1,,0,,0,0,1,1,1,0,1,0,0,,0,0,1,,0,0,0,1,0,,0,,,0,0,0,1,,,,,0,1,0,1,1,1,1,,1,,1,,,0,,,1,1,0,0,0,,0,0,,0,0,,,0,0,0,0,1,1,0,0,,0,,0,,,,,,,,,1,,1,1,1,,1,0,1,1,,1,1,,,,,,1,0,1,1,,0,1,0,1,1,1,,,1,1,1,1,,,1,,,,0,0,0,,0,,,1,1,1,0,,1,,1,1,1,1,0,0,1,1,,,,,,0,1,,1,1,,,0,1,1,0,1,1,,0,,,,0,,,1,1,1,1,,1,,0,1,,1,,0,,0,1,1,,1,1,1,1,1,
74284,Walter Feldman,PSB,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,1,0,1,0,1,1,1,1,,0,0,1,1,1,1,1,,,0,0,,,,,,,,,,,,,,,,,0,,,0,0,0,1,1,,0,0,1,1,0,0,,1,,,1,,,1,1,1,0,,,1,1,,1,1,1,,,1,1,,1,0,,1,1,1,1,,,,1,,1,,1,1,,1,,0,,,1,,,,,1,1,,1,1,1,1,1,,,,,,0,0,,,,,,,,,,,,,0,0,1,,1,,,,1,,0,0,0,0,1,,1,0,,,,0,,1,1,1,1,1,1,0,0,1,1,,,,,1,,0,,,0,0,,1,1,,,,,1,,,0,1,0,,0,0,0,0,1,,1,0,,0,1,,,,,,,,,,,,,,,,,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74290,Carlos Alberto Leréia,PSDB,GO,1,,1,0,0,0,,,,,,,,0,,,,,,1,0,1,1,,,,1,1,0,,0,,,,0,,0,,,,,,,0,0,,,,,0,0,0,1,,,,,1,,,,1,,,,0,,,,,,,,,,,,,,,,0,1,1,,,0,,,,,,0,,1,1,1,1,,,0,,,,,,,0,,,1,1,1,,,0,1,,0,0,,,1,,,,,1,,,,,,1,1,,,,,,1,,,,,,,1,,,,0,0,0,,,,,,,,,,,1,,,,,1,1,1,,,,,,,,,,,,,1,1,,,0,1,,1,1,0,,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,0,,,,,,,,,,,,,,,,,,,,,0,0,1,,1,,,,1,1,1,1,1,,1,,,,,,,,,,,,1,1,1,0,0,1,1,,,0,0,1,,0,1,0,0,,,1,,1,,,0,1,,,,,,0,,,0,0,,0,1,0,,1,0,,,0,0,1,1,1,,0,1,,1,,,,1,0,,1,,,,,,,,,,1,1,,,1,1,,,,0,0,1,1,1,1,,,,,1,1,1,,,,,,0,,,,1,0,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,,,,,,,,,,,,1,,,1,1,1,,,
74291,Arnon Bezerra,PTB,CE,1,1,0,0,,0,,,,0,0,1,,1,1,,,,1,,1,0,,,,,1,0,,0,1,0,0,0,,1,1,1,1,,,0,,0,,,,,1,,1,1,,0,0,,1,1,,,,,,0,,1,1,,,,,,,,,,0,,0,,,,0,0,,0,,1,1,1,1,1,,,1,1,1,1,1,1,1,,,0,1,,,0,,,1,0,0,0,1,1,0,1,0,,1,,1,1,,1,,1,,0,,0,1,1,1,,,,,,0,0,,0,0,,,,,,,,,0,1,1,1,,1,1,,,,1,,,,1,,1,1,,,,1,,,,,,,,,,,,,1,,1,,,1,0,,,,,,1,,,,,,,1,,,,,1,,,0,,1,1,1,,,0,1,0,,0,,1,0,1,,,0,,0,1,1,0,1,,,1,1,1,,1,0,1,0,,0,,,,,,,,1,0,,,1,0,0,1,,,,,,1,1,1,1,1,1,,1,,,,,1,,,,0,,0,0,,0,,,0,1,,0,,,,,,,0,0,,1,,,,1,0,,,1,,1,1,,,,,,0,1,,,0,1,1,,0,1,1,1,,,1,1,,,1,,1,1,,0,,,1,1,,,0,1,,,1,1,,,0,,1,,,,1,0,0,1,1,1,1,1,,,,,1,,1,1,,1,,,0,,1,1,,,,1,1,,,,,,,,1,0,0,1,0,1,1,0,,,0,1,,1,,0,,0,1,1,,1,1,1,1,1,
74297,José Linhares,PDS>PP,CE,,,,,0,0,0,0,,,,,1,,,,,,0,0,1,0,1,0,,,1,,,0,0,,,,,,1,,,,0,,,,,,0,0,1,,1,1,,0,,,1,,,,0,1,0,,,1,,,,1,,,,,0,0,0,,,,,,,,0,0,1,1,1,1,1,1,,1,0,,1,1,1,1,1,,0,0,1,1,,0,,1,,,,0,1,0,,1,0,,0,1,,1,1,1,,,0,1,0,1,,1,,,,,,0,0,,,,,,,,,,0,,0,0,1,1,1,1,1,1,,0,1,1,0,,,1,1,,,,1,0,,,0,0,0,,0,1,,,1,,,,0,1,,,,,,,,,,1,,0,,,,,,0,,1,0,1,,,,0,1,1,1,0,0,,,,,0,0,1,,,,,0,1,0,1,1,,,,0,1,,,,1,1,,,,,1,,,,,,0,0,,,,0,,,,,,,,0,1,1,1,1,,,,,,1,,,0,1,,1,1,0,0,0,1,0,,,0,1,0,0,,,,,,,,,0,1,,,1,0,,1,0,1,1,0,1,,1,1,1,,,,,,,,,,,1,1,1,1,0,1,1,,,,,,,0,1,1,1,,,,,0,,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,0,,,,,,,,,,,1,1,,,,,,,
74308,Vicente Arruda,PL+PRONA>PR,CE,1,1,0,0,,,0,,0,0,0,1,,1,1,0,0,1,1,1,1,0,1,,,,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,,,,,,,1,0,0,0,0,,0,,1,1,,1,0,1,0,,,1,0,,,1,0,1,1,0,0,0,0,0,0,0,1,1,0,,0,,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,,,,1,0,0,0,1,,0,1,0,0,0,0,1,1,0,,1,,0,0,0,0,1,,,,0,0,,0,0,,,,,,,1,0,0,,,,1,,1,1,1,1,1,1,,,0,,1,,1,,,1,1,1,,,,,,,0,,0,,,1,0,,,,,1,,1,0,,,,1,,1,,0,,1,,,,,,1,,1,,,,,,,1,1,0,,0,0,0,,0,0,0,1,,0,,,0,0,1,0,,,,,,,,,,,0,0,,1,0,0,0,,0,0,1,0,,,0,0,0,,,1,0,1,0,0,1,1,,0,0,,1,,,,,0,1,,1,1,0,,,,,,,,,,,0,,,0,1,1,0,0,0,0,0,1,,,,,,,,,,,1,1,1,,0,1,,1,1,1,1,,0,1,1,1,,0,,1,,1,1,,1,1,0,,0,1,1,,1,,0,1,,,1,0,0,0,0,0,1,,1,1,,0,0,1,,1,1,1,1,,,,1,1,,,,0,0,0,,,1,1,0,1,1,1,1,,1,0,0,,1,,0,,,,,1,1,,1,,0,1,,1,,1,,0,,1,,,,,,,
74317,Júlio Cesar,PFL>DEM,PI,,0,,1,,,,,,,,,,0,,,,0,1,1,,0,1,0,0,,1,1,,1,,,,0,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,0,1,,,,,1,,,1,0,1,1,0,,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,,,1,1,1,1,1,1,0,0,,1,,1,,1,,1,0,0,0,1,1,0,1,0,0,0,1,1,1,,,1,1,0,0,0,0,,1,0,0,0,0,0,0,,0,0,0,0,,0,1,,,0,0,0,0,1,1,,1,1,1,1,0,1,1,0,0,,1,1,1,1,1,1,0,1,1,,1,0,1,1,1,0,,1,0,,1,,1,1,1,1,1,0,0,1,,,1,,1,,1,1,,1,0,,1,0,1,0,1,0,0,1,1,1,1,1,0,,,,,0,1,0,1,1,,0,,,,1,0,1,,0,1,0,1,,1,,1,,1,0,1,1,1,0,0,0,1,0,1,,,0,0,0,1,1,1,0,1,0,0,1,1,0,,0,0,1,,1,1,0,0,1,,1,1,1,,0,1,1,,,0,1,0,0,,,,,,,1,,0,1,0,,1,,0,1,0,1,1,,1,0,,1,1,0,1,0,1,1,0,1,1,,0,1,,1,,,1,1,1,1,1,,1,1,0,,1,1,1,,1,,0,1,,,0,1,,0,0,,,0,1,1,1,,0,1,1,1,1,,1,1,1,1,1,1,,1,,1,,,0,1,1,1,0,1,1,,1,1,1,,,,1,0,,,,1,0,,,0,1,,0,1,,1,,0,,,1,1,,1,1,1,1,,
74319,Paes Landim,PTB,PI,1,1,0,0,0,,0,0,0,,,1,1,,,0,0,1,,,,0,,0,,0,1,0,1,,1,,,0,,,,,,,0,0,,0,,,0,0,1,1,1,1,0,,0,,0,,,1,0,1,0,,,1,1,,,1,0,1,1,0,,0,0,0,,,1,1,0,0,0,0,1,1,1,1,1,1,0,,,1,1,,1,1,1,0,0,0,,,0,,,,,0,0,,,1,,,,,,,1,1,1,1,1,,0,,0,,,1,,,,,,0,0,0,,0,0,,0,1,1,0,0,0,,,,,,,0,,1,,,,0,,,,,,,,,,0,,,,,,,0,0,,,,,,1,0,0,0,1,,,,,1,,0,,0,,,,,,,,,,,,,,,,1,,0,,,0,,,0,,0,0,1,,,0,1,0,1,1,0,1,,,,1,1,,1,0,,0,,,,0,0,0,0,0,,,0,,,,,0,1,,,,,0,,,,,,,,,,1,,,,1,,,0,0,,0,,0,,,,,,,,,,,,,0,0,0,,,,,,,,,0,0,0,1,,1,1,,,1,0,1,,,,,,0,1,,,,,,1,,,,,1,,,0,,,,,,,,,,,,1,,0,,,1,0,1,,,,,,,,,1,,0,0,,1,,,,1,,0,1,,1,1,,0,1,1,,,1,,1,,,,,1,0,0,1,0,1,,,1,,0,1,,1,,0,,0,1,,,,1,,1,1,
74321,Betinho Rosado,PDS>PP,RN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,,,,1,0,,,1,1,,,,,,,1,0,,1,0,,,,,,,,,,,,,0,,,1,,,,0,1,,,,,,0,0,1,1,1,,,,,,,,,,,,,,1,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,1,,1,,,0,,,1,,,0,,,,,,,,,,,,,,,,,,,1,,,1,,0,1,0,,,0,1,0,1,1,,0,,,,,0,1,1,,0,1,1,,1,0,1,1,1,,1,,1,1,,,,,1,,,,,,1,1,1,,0,,,0,1,,,,1,1,0,1,,1,,,1,,,,1,1,,,,0,,,0,1,,,,,,,,1,1,,1,,1,,,,,,0,,,,,,0,1,,1,,0,,0,1,1,,1,1,,,1,
74324,Henrique Eduardo Alves,PMDB,RN,1,1,0,0,0,,,,,0,,1,,,1,0,,,1,0,1,,,,,,1,1,1,0,,,,,,1,1,1,,1,,0,0,,0,,,,1,1,1,,,,,,,1,,1,0,1,,0,,,,,,1,,1,1,0,0,,,,0,,1,1,,0,0,,1,1,1,1,1,1,,,,1,,1,1,,1,0,,0,,,0,0,,,1,0,0,1,,,,,0,0,0,,1,1,1,1,1,,,,0,1,,1,,,,,,,,0,,0,0,,0,1,1,,0,0,0,0,1,,,1,0,1,,0,1,1,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,1,,0,,0,,,,,,,,,
74345,Evandro Milhomen,PCdoB,AP,1,1,0,0,0,,0,,0,0,0,1,,1,1,0,0,1,1,0,1,0,1,0,,0,1,1,1,,1,0,0,0,1,1,1,1,,1,,0,0,0,,,,,1,1,1,1,0,0,0,,0,,,1,,1,0,0,,1,1,,,1,0,1,1,0,0,0,0,0,,0,1,1,0,0,0,0,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,0,0,0,1,1,,0,1,0,1,0,0,0,1,,0,1,0,1,0,1,1,,1,1,,,0,0,0,1,,1,,0,0,0,0,0,0,0,0,0,,,,,1,,,,1,1,0,,1,1,0,1,1,0,1,,,1,0,1,,1,1,1,1,1,0,0,0,0,0,,0,0,0,,1,1,,1,0,1,1,1,1,1,0,0,,,,1,,0,,1,1,,1,0,,,0,1,0,1,0,0,1,,1,0,0,0,0,1,0,,0,0,0,1,1,0,0,1,0,1,1,0,1,,,1,,1,0,1,1,,0,0,,1,1,0,0,0,1,0,1,,,,0,1,1,1,,1,1,1,0,1,0,1,1,1,,,1,,1,1,0,0,1,,1,1,0,,0,1,0,0,,,,,,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,,0,1,0,1,,,,,,1,1,0,1,1,,0,1,1,1,1,1,1,1,,0,1,,1,1,1,,,1,,1,1,,0,1,1,1,0,0,0,0,0,,1,1,0,1,1,,0,1,1,1,1,1,0,,,1,1,1,,,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,,0,,0,,,1,1,1,1,,1,,0,1,,0,,0,,0,1,1,,,,,,,
74351,Josué Bengtson,PTB,PA,,1,0,0,,0,,0,,0,0,1,,,1,0,0,1,1,1,1,0,1,,0,,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,,,0,0,0,1,,0,0,0,,1,1,,,0,0,0,0,,,1,,,1,0,1,1,0,0,0,,,0,0,1,1,0,,0,,1,0,1,1,1,1,0,0,1,1,,,1,1,1,0,0,0,1,1,1,0,1,,,,,0,1,1,0,1,0,0,1,1,1,1,1,,,1,0,,,1,1,,,,0,0,,,0,0,,,,,,1,1,,1,1,0,,1,1,1,,,,,,,,0,1,,1,,,,,1,1,,,,0,,1,1,1,0,,1,1,,1,1,0,1,0,1,0,,,,,,0,,1,,,,,0,0,,1,,1,,,,,1,1,,,,1,,,,0,,1,1,,,,0,1,0,1,1,0,,,0,1,1,1,,1,1,1,0,,0,1,1,0,0,0,0,,1,,,,,0,0,1,,,,,,1,1,1,1,1,0,,,,1,1,,,1,,1,0,,,0,1,0,,,0,1,0,,,,0,0,,1,0,,,,,,,,0,,1,1,1,1,,,1,1,1,,0,1,,1,1,1,,,0,,,,,0,1,1,1,1,1,,1,1,0,0,1,1,1,1,,,0,1,1,1,1,1,,0,0,1,1,0,1,1,1,0,0,1,1,1,1,,,0,0,1,1,,,,1,1,0,1,0,1,1,1,,,1,,,,,,0,,1,0,1,0,0,1,,1,1,1,,,,,,1,,,,1,1,1,,1,1,1,1,1,
74352,Nilson Pinto,PSDB,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,1,1,1,1,1,1,0,,,,,,1,,0,1,,,,,,,1,,,,,,1,,,1,1,0,,,,,,,,,,,,,,,,,,,,,0,0,1,,1,0,,,1,1,,,,,,,1,,1,,,0,0,0,1,,1,0,1,0,0,1,1,1,1,0,0,1,,0,1,0,0,1,,,1,1,,0,0,1,0,,,,,,,1,0,0,1,0,1,0,,1,0,,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,,,1,1,1,1,,1,1,,,,,,,,,,,,,,,,1,1,1,1,0,,,,1,0,0,,,,,,,1,1,1,1,,1,1,1,1,,1,1,0,1,,1,0,0,1,1,1,1,1,1,0,1,1,1,,,1,0,1,0,0,1,0,,,,1,,,,,,,,,,1,1,,1,1,1,1,1,
74354,Zenaldo Coutinho,PSDB,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,1,0,,0,1,1,1,1,,,,1,1,1,0,,0,1,1,1,1,,0,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74356,Silas Câmara,PSC,AM,1,1,0,0,,0,0,,,0,0,1,,1,1,0,,,1,0,,0,1,,0,0,1,1,,,,,,,,1,1,,,,,,,,,,,0,1,,,,,,,,1,,,,0,,1,,,,,,,1,0,1,1,0,0,0,,0,0,0,1,1,0,0,,,,1,1,1,1,1,0,1,0,0,0,,1,1,1,0,0,0,1,,,,,,,,,,,,,,1,1,,1,1,1,1,1,,1,,,,1,1,,,,,,,,,0,0,0,0,,,,,,,,1,0,0,1,1,1,1,1,1,0,,1,,,,1,1,1,1,1,1,0,,,,1,,1,1,,,,,1,,1,,1,0,1,,,0,0,,,,1,,0,,,,,,0,1,1,,0,,,,,,1,1,0,1,,,,,,0,,,,,,0,1,0,1,1,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,0,,,,,,,,,,,,0,0,1,1,,1,0,0,,,,1,0,0,1,,1,,,,,,,,,0,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,0,,,,,,,,0,1,1,1,,,,,,,1,,,,0,,1,1,1,1,1,,,,,,,,0,0,0,,,,1,1,1,,0,1,1,,1,1,,1,1,1,1,1,1,1,0,,,,,,,,0,,1,,1,1,1,,,,1,0,,,,,,,,,1,,0,1,,1,,0,,0,1,1,,1,1,1,0,1,
74359,Nilton Capixaba,PTB,RO,1,1,0,0,,0,0,,,0,0,1,,1,1,0,0,1,1,0,,0,1,,0,0,1,1,1,0,1,0,0,,1,1,1,1,1,1,,,,0,0,,0,0,1,1,1,1,0,0,0,,0,1,,1,0,1,,,,1,,,,1,0,,,,0,,0,,,0,1,1,0,0,,,1,1,1,,,1,0,0,,,1,1,,1,,,,,1,1,,,1,,1,1,1,,1,1,0,1,0,0,1,,1,1,,1,1,,0,0,,0,,1,,0,0,,,,,0,,,,,,,1,0,,,0,,1,,1,,,1,1,,0,,0,,,1,,1,1,1,1,,1,,0,0,0,1,0,0,0,,1,1,,1,0,,1,1,1,,,,,1,,1,,1,,,,,1,0,,,0,1,,1,,,,1,1,,0,,,,,,,1,1,1,,,0,1,,1,1,0,1,0,,1,1,1,,1,,1,,0,0,1,0,0,0,0,0,,1,0,,,,1,1,0,,,,,,1,1,1,1,,1,,1,,1,1,0,,1,,1,0,,,0,,0,0,,0,1,0,,,0,0,0,,,0,0,0,1,0,,,1,0,,0,1,1,,1,,1,1,,,,,1,1,0,1,1,,0,1,1,1,,0,1,,1,1,1,,,1,,0,1,,1,1,1,,,1,1,1,,1,,0,,0,1,,1,1,1,,0,1,1,,1,1,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,,1,,0,1,,,,,,,1,1,,,,,,,
74363,Márcio Bittar,PSDB,AC,1,0,1,1,,,,,,,,,0,0,,,,,1,1,0,1,1,,0,,1,1,0,1,0,,,,,0,0,0,,,1,1,,,,,,,,,0,0,1,,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,1,0,0,,,,,0,0,0,,,,,,1,1,1,1,1,,1,1,,1,1,1,1,,,,,,,0,,0,,,0,,1,,,,,1,1,1,,,0,0,0,,,,,,,,,,,,,,,,0,,,0,0,0,1,1,1,1,0,1,1,,0,0,1,,,1,,,,,1,0,1,,1,,,1,,,,,,,,,0,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,0,,1,1,1,,,,,,0,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,0,1,1,,,1,,,,,1,,,,,,,,,,1,1,,,,,,,,,,0,,,,1,,0,,1,1,,,,,1,1,,,,,,,,,,0,,,,,,,,,1,1,1,0,,1,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,1,
74366,João Campos,PSDB,GO,1,0,1,1,,,,,,,,,,0,,,,0,1,,0,1,1,,0,,1,1,,1,0,1,,,0,,0,0,0,1,,,0,,0,,,,,0,0,0,,,,,,,,,0,,1,1,,0,,,,,,,,1,,,,,,,,0,,,,,,,,,,,0,0,,1,1,1,1,1,,,0,1,,1,1,,,,1,1,1,0,1,0,1,1,0,0,,0,1,0,1,1,,1,,,,,,1,1,,,,,,1,,,,,,,1,0,,,,0,,1,,1,,1,1,1,,,,1,,,1,1,1,1,1,1,0,,,,,,1,1,1,1,,1,1,,1,0,1,1,1,1,0,,,,1,,1,,0,,,,,,,,1,,,,,,1,,1,1,1,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,0,,,1,,,,,,,,,1,,1,0,1,1,1,1,0,,1,,1,1,0,0,1,,,1,,,0,,1,,,0,1,0,0,,1,0,,,0,1,,,1,1,,,0,,,1,1,,0,1,0,1,1,1,,1,,1,,0,1,1,,,1,1,1,1,1,,,1,1,1,,,1,,,,,,,1,,1,,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,1,1,,0,,1,1,1,1,,1,0,1,1,1,,,1,,,0,0,1,0,1,1,,1,,,,,,,,,,1,1,,1,1,1,1,1,
